input_0,input_1,input_2,input_3,input_4,output_0,output_1,output_2,output_3,output_4,seq_id,rain_category
2447081,2447061,2447041,2447021,2447001,2446981,2446941,2446921,2446901,2446881,4,4.0
2447061,2447041,2447021,2447001,2446981,2446941,2446921,2446901,2446881,2446861,4,4.0
2447041,2447021,2447001,2446981,2446941,2446921,2446901,2446881,2446861,2446841,4,4.0
2447021,2447001,2446981,2446941,2446921,2446901,2446881,2446861,2446841,2446801,4,4.0
2447001,2446981,2446941,2446921,2446901,2446881,2446861,2446841,2446801,2446781,4,4.0
2446981,2446941,2446921,2446901,2446881,2446861,2446841,2446801,2446781,2446761,4,4.0
2446941,2446921,2446901,2446881,2446861,2446841,2446801,2446781,2446761,2446741,4,4.0
2446661,2446641,2446618,2446601,2446581,2446541,2446521,2446501,2446481,2446461,5,4.0
2446641,2446618,2446601,2446581,2446541,2446521,2446501,2446481,2446461,2446441,5,4.0
2446618,2446601,2446581,2446541,2446521,2446501,2446481,2446461,2446441,2446401,5,4.0
2446601,2446581,2446541,2446521,2446501,2446481,2446461,2446441,2446401,2446381,5,4.0
2446581,2446541,2446521,2446501,2446481,2446461,2446441,2446401,2446381,2446361,5,4.0
2446541,2446521,2446501,2446481,2446461,2446441,2446401,2446381,2446361,2446341,5,4.0
2446521,2446501,2446481,2446461,2446441,2446401,2446381,2446361,2446341,2446321,5,4.0
2446501,2446481,2446461,2446441,2446401,2446381,2446361,2446341,2446321,2446301,5,4.0
2446481,2446461,2446441,2446401,2446381,2446361,2446341,2446321,2446301,2446261,5,4.0
2446461,2446441,2446401,2446381,2446361,2446341,2446321,2446301,2446261,2446241,5,4.0
2446441,2446401,2446381,2446361,2446341,2446321,2446301,2446261,2446241,2446223,5,4.0
2446401,2446381,2446361,2446341,2446321,2446301,2446261,2446241,2446223,2446201,5,4.0
2446381,2446361,2446341,2446321,2446301,2446261,2446241,2446223,2446201,2446181,5,4.0
2446361,2446341,2446321,2446301,2446261,2446241,2446223,2446201,2446181,2446161,5,4.0
2446341,2446321,2446301,2446261,2446241,2446223,2446201,2446181,2446161,2446118,5,4.0
2446321,2446301,2446261,2446241,2446223,2446201,2446181,2446161,2446118,2446101,5,4.0
2446301,2446261,2446241,2446223,2446201,2446181,2446161,2446118,2446101,2446078,5,4.0
2446261,2446241,2446223,2446201,2446181,2446161,2446118,2446101,2446078,2446061,5,4.0
2446241,2446223,2446201,2446181,2446161,2446118,2446101,2446078,2446061,2446041,5,4.0
2446223,2446201,2446181,2446161,2446118,2446101,2446078,2446061,2446041,2446021,5,4.0
2446201,2446181,2446161,2446118,2446101,2446078,2446061,2446041,2446021,2445981,5,4.0
2446181,2446161,2446118,2446101,2446078,2446061,2446041,2446021,2445981,2445961,5,4.0
2446161,2446118,2446101,2446078,2446061,2446041,2446021,2445981,2445961,2445941,5,4.0
2446118,2446101,2446078,2446061,2446041,2446021,2445981,2445961,2445941,2445921,5,4.0
2446101,2446078,2446061,2446041,2446021,2445981,2445961,2445941,2445921,2445901,5,4.0
2446078,2446061,2446041,2446021,2445981,2445961,2445941,2445921,2445901,2445883,5,4.0
2446061,2446041,2446021,2445981,2445961,2445941,2445921,2445901,2445883,2445841,5,4.0
2446041,2446021,2445981,2445961,2445941,2445921,2445901,2445883,2445841,2445821,5,4.0
2446021,2445981,2445961,2445941,2445921,2445901,2445883,2445841,2445821,2445801,5,4.0
2445981,2445961,2445941,2445921,2445901,2445883,2445841,2445821,2445801,2445781,5,4.0
2445961,2445941,2445921,2445901,2445883,2445841,2445821,2445801,2445781,2445761,5,4.0
2445941,2445921,2445901,2445883,2445841,2445821,2445801,2445781,2445761,2445741,5,4.0
2445921,2445901,2445883,2445841,2445821,2445801,2445781,2445761,2445741,2445701,5,4.0
2445901,2445883,2445841,2445821,2445801,2445781,2445761,2445741,2445701,2445683,5,4.0
2445883,2445841,2445821,2445801,2445781,2445761,2445741,2445701,2445683,2445663,5,4.0
2445841,2445821,2445801,2445781,2445761,2445741,2445701,2445683,2445663,2445640,5,4.0
2445821,2445801,2445781,2445761,2445741,2445701,2445683,2445663,2445640,2445621,5,4.0
2445801,2445781,2445761,2445741,2445701,2445683,2445663,2445640,2445621,2445603,5,4.0
2445781,2445761,2445741,2445701,2445683,2445663,2445640,2445621,2445603,2445561,5,4.0
2445761,2445741,2445701,2445683,2445663,2445640,2445621,2445603,2445561,2445541,5,4.0
2445741,2445701,2445683,2445663,2445640,2445621,2445603,2445561,2445541,2445521,5,4.0
2445701,2445683,2445663,2445640,2445621,2445603,2445561,2445541,2445521,2445503,5,4.0
2445683,2445663,2445640,2445621,2445603,2445561,2445541,2445521,2445503,2445481,5,4.0
2445663,2445640,2445621,2445603,2445561,2445541,2445521,2445503,2445481,2445461,5,4.0
2445640,2445621,2445603,2445561,2445541,2445521,2445503,2445481,2445461,2445421,5,4.0
2445621,2445603,2445561,2445541,2445521,2445503,2445481,2445461,2445421,2445401,5,4.0
2445603,2445561,2445541,2445521,2445503,2445481,2445461,2445421,2445401,2445381,5,4.0
2445561,2445541,2445521,2445503,2445481,2445461,2445421,2445401,2445381,2445361,5,4.0
2445541,2445521,2445503,2445481,2445461,2445421,2445401,2445381,2445361,2445341,5,4.0
2445521,2445503,2445481,2445461,2445421,2445401,2445381,2445361,2445341,2445323,5,3.9
2445503,2445481,2445461,2445421,2445401,2445381,2445361,2445341,2445323,2445281,5,3.8
2445481,2445461,2445421,2445401,2445381,2445361,2445341,2445323,2445281,2445263,5,3.7
2445461,2445421,2445401,2445381,2445361,2445341,2445323,2445281,2445263,2445243,5,3.6
2445421,2445401,2445381,2445361,2445341,2445323,2445281,2445263,2445243,2445223,5,3.6
2445401,2445381,2445361,2445341,2445323,2445281,2445263,2445243,2445223,2445203,5,3.6
2445381,2445361,2445341,2445323,2445281,2445263,2445243,2445223,2445203,2445181,5,3.5
2445361,2445341,2445323,2445281,2445263,2445243,2445223,2445203,2445181,2445143,5,3.4
2445341,2445323,2445281,2445263,2445243,2445223,2445203,2445181,2445143,2445121,5,3.3
2445323,2445281,2445263,2445243,2445223,2445203,2445181,2445143,2445121,2445103,5,3.2
2445281,2445263,2445243,2445223,2445203,2445181,2445143,2445121,2445103,2445081,5,3.2
2445263,2445243,2445223,2445203,2445181,2445143,2445121,2445103,2445081,2445061,5,3.2
2445243,2445223,2445203,2445181,2445143,2445121,2445103,2445081,2445061,2445043,5,3.2
2445223,2445203,2445181,2445143,2445121,2445103,2445081,2445061,2445043,2445001,5,3.2
2445203,2445181,2445143,2445121,2445103,2445081,2445061,2445043,2445001,2444983,5,3.1
2439209,2439191,2439149,2439129,2439109,2439089,2439069,2439049,2439009,2438989,6,3.1
2439191,2439149,2439129,2439109,2439089,2439069,2439049,2439009,2438989,2438969,6,3.2
2439149,2439129,2439109,2439089,2439069,2439049,2439009,2438989,2438969,2438949,6,3.3
2439129,2439109,2439089,2439069,2439049,2439009,2438989,2438969,2438949,2438931,6,3.4
2439109,2439089,2439069,2439049,2439009,2438989,2438969,2438949,2438931,2438911,6,3.5
2439089,2439069,2439049,2439009,2438989,2438969,2438949,2438931,2438911,2438869,6,3.6
2439069,2439049,2439009,2438989,2438969,2438949,2438931,2438911,2438869,2438849,6,3.7
2439049,2439009,2438989,2438969,2438949,2438931,2438911,2438869,2438849,2438829,6,3.8
2439009,2438989,2438969,2438949,2438931,2438911,2438869,2438849,2438829,2438809,6,3.9
2438989,2438969,2438949,2438931,2438911,2438869,2438849,2438829,2438809,2438789,6,4.0
2438969,2438949,2438931,2438911,2438869,2438849,2438829,2438809,2438789,2438769,6,4.0
2438949,2438931,2438911,2438869,2438849,2438829,2438809,2438789,2438769,2438729,6,4.0
2438931,2438911,2438869,2438849,2438829,2438809,2438789,2438769,2438729,2438709,6,4.0
2438911,2438869,2438849,2438829,2438809,2438789,2438769,2438729,2438709,2438691,6,4.0
2438869,2438849,2438829,2438809,2438789,2438769,2438729,2438709,2438691,2438669,6,4.0
2438849,2438829,2438809,2438789,2438769,2438729,2438709,2438691,2438669,2438649,6,4.0
2438829,2438809,2438789,2438769,2438729,2438709,2438691,2438669,2438649,2438631,6,4.0
2438809,2438789,2438769,2438729,2438709,2438691,2438669,2438649,2438631,2438589,6,4.0
2438789,2438769,2438729,2438709,2438691,2438669,2438649,2438631,2438589,2438571,6,3.9
2438769,2438729,2438709,2438691,2438669,2438649,2438631,2438589,2438571,2438551,6,3.8
2438729,2438709,2438691,2438669,2438649,2438631,2438589,2438571,2438551,2438531,6,3.7
2438709,2438691,2438669,2438649,2438631,2438589,2438571,2438551,2438531,2438509,6,3.6
2438691,2438669,2438649,2438631,2438589,2438571,2438551,2438531,2438509,2438489,6,3.5
2438669,2438649,2438631,2438589,2438571,2438551,2438531,2438509,2438489,2438449,6,3.4
2438649,2438631,2438589,2438571,2438551,2438531,2438509,2438489,2438449,2438429,6,3.3
2438631,2438589,2438571,2438551,2438531,2438509,2438489,2438449,2438429,2438409,6,3.2
2438589,2438571,2438551,2438531,2438509,2438489,2438449,2438429,2438409,2438391,6,3.1
2433277,2433257,2433239,2433217,2433197,2433177,2433157,2433138,2433098,2433078,6,3.1
2433257,2433239,2433217,2433197,2433177,2433157,2433138,2433098,2433078,2433058,6,3.2
2433239,2433217,2433197,2433177,2433157,2433138,2433098,2433078,2433058,2433040,6,3.3
2433217,2433197,2433177,2433157,2433138,2433098,2433078,2433058,2433040,2433018,6,3.4
2433197,2433177,2433157,2433138,2433098,2433078,2433058,2433040,2433018,2432998,6,3.5
2433177,2433157,2433138,2433098,2433078,2433058,2433040,2433018,2432998,2432958,6,3.6
2433157,2433138,2433098,2433078,2433058,2433040,2433018,2432998,2432958,2432938,6,3.7
2433138,2433098,2433078,2433058,2433040,2433018,2432998,2432958,2432938,2432918,6,3.8
2433098,2433078,2433058,2433040,2433018,2432998,2432958,2432938,2432918,2432898,6,3.9
2433078,2433058,2433040,2433018,2432998,2432958,2432938,2432918,2432898,2432878,6,4.0
2433058,2433040,2433018,2432998,2432958,2432938,2432918,2432898,2432878,2432858,6,4.0
2433040,2433018,2432998,2432958,2432938,2432918,2432898,2432878,2432858,2432818,6,4.0
2433018,2432998,2432958,2432938,2432918,2432898,2432878,2432858,2432818,2432800,6,4.0
2432998,2432958,2432938,2432918,2432898,2432878,2432858,2432818,2432800,2432780,6,4.0
2432958,2432938,2432918,2432898,2432878,2432858,2432818,2432800,2432780,2432758,6,4.0
2432938,2432918,2432898,2432878,2432858,2432818,2432800,2432780,2432758,2432738,6,4.0
2432918,2432898,2432878,2432858,2432818,2432800,2432780,2432758,2432738,2432720,6,4.0
2432898,2432878,2432858,2432818,2432800,2432780,2432758,2432738,2432720,2432676,6,4.0
2432878,2432858,2432818,2432800,2432780,2432758,2432738,2432720,2432676,2432656,6,4.0
2432858,2432818,2432800,2432780,2432758,2432738,2432720,2432676,2432656,2432636,6,4.0
2432818,2432800,2432780,2432758,2432738,2432720,2432676,2432656,2432636,2432616,6,4.0
2432800,2432780,2432758,2432738,2432720,2432676,2432656,2432636,2432616,2432598,6,4.0
2432780,2432758,2432738,2432720,2432676,2432656,2432636,2432616,2432598,2432576,6,4.0
2432758,2432738,2432720,2432676,2432656,2432636,2432616,2432598,2432576,2432556,6,4.0
2432738,2432720,2432676,2432656,2432636,2432616,2432598,2432576,2432556,2432538,6,4.0
2432720,2432676,2432656,2432636,2432616,2432598,2432576,2432556,2432538,2432516,6,4.0
2432676,2432656,2432636,2432616,2432598,2432576,2432556,2432538,2432516,2432496,6,4.0
2432656,2432636,2432616,2432598,2432576,2432556,2432538,2432516,2432496,2432476,6,4.0
2432636,2432616,2432598,2432576,2432556,2432538,2432516,2432496,2432476,2432436,6,4.0
2432616,2432598,2432576,2432556,2432538,2432516,2432496,2432476,2432436,2432416,6,4.0
2432598,2432576,2432556,2432538,2432516,2432496,2432476,2432436,2432416,2432398,6,4.0
2432576,2432556,2432538,2432516,2432496,2432476,2432436,2432416,2432398,2432380,6,4.0
2432556,2432538,2432516,2432496,2432476,2432436,2432416,2432398,2432380,2432360,6,4.0
2432538,2432516,2432496,2432476,2432436,2432416,2432398,2432380,2432360,2432340,6,4.0
2432516,2432496,2432476,2432436,2432416,2432398,2432380,2432360,2432340,2432320,6,4.0
2432496,2432476,2432436,2432416,2432398,2432380,2432360,2432340,2432320,2432278,6,4.0
2432476,2432436,2432416,2432398,2432380,2432360,2432340,2432320,2432278,2432260,6,4.0
2432436,2432416,2432398,2432380,2432360,2432340,2432320,2432278,2432260,2432238,6,4.0
2432416,2432398,2432380,2432360,2432340,2432320,2432278,2432260,2432238,2432218,6,4.0
2432398,2432380,2432360,2432340,2432320,2432278,2432260,2432238,2432218,2432195,6,4.0
2432380,2432360,2432340,2432320,2432278,2432260,2432238,2432218,2432195,2432178,6,4.0
2432360,2432340,2432320,2432278,2432260,2432238,2432218,2432195,2432178,2432140,6,4.0
2432340,2432320,2432278,2432260,2432238,2432218,2432195,2432178,2432140,2432118,6,4.0
2432320,2432278,2432260,2432238,2432218,2432195,2432178,2432140,2432118,2432098,6,4.0
2432278,2432260,2432238,2432218,2432195,2432178,2432140,2432118,2432098,2432078,6,4.0
2432260,2432238,2432218,2432195,2432178,2432140,2432118,2432098,2432078,2432058,6,4.0
2432238,2432218,2432195,2432178,2432140,2432118,2432098,2432078,2432058,2432038,6,4.0
2432218,2432195,2432178,2432140,2432118,2432098,2432078,2432058,2432038,2431998,6,4.0
2432195,2432178,2432140,2432118,2432098,2432078,2432058,2432038,2431998,2431978,6,4.0
2432178,2432140,2432118,2432098,2432078,2432058,2432038,2431998,2431978,2431958,6,4.0
2432140,2432118,2432098,2432078,2432058,2432038,2431998,2431978,2431958,2431938,6,4.0
2432118,2432098,2432078,2432058,2432038,2431998,2431978,2431958,2431938,2431918,6,4.0
2432098,2432078,2432058,2432038,2431998,2431978,2431958,2431938,2431918,2431898,6,4.0
2432078,2432058,2432038,2431998,2431978,2431958,2431938,2431918,2431898,2431858,6,4.0
2432058,2432038,2431998,2431978,2431958,2431938,2431918,2431898,2431858,2431838,6,4.0
2432038,2431998,2431978,2431958,2431938,2431918,2431898,2431858,2431838,2431818,6,4.0
2431998,2431978,2431958,2431938,2431918,2431898,2431858,2431838,2431818,2431798,6,4.0
2431978,2431958,2431938,2431918,2431898,2431858,2431838,2431818,2431798,2431778,6,4.0
2431958,2431938,2431918,2431898,2431858,2431838,2431818,2431798,2431778,2431758,6,4.0
2431938,2431918,2431898,2431858,2431838,2431818,2431798,2431778,2431758,2431718,6,4.0
2431918,2431898,2431858,2431838,2431818,2431798,2431778,2431758,2431718,2431698,6,4.0
2431898,2431858,2431838,2431818,2431798,2431778,2431758,2431718,2431698,2431678,6,4.0
2431858,2431838,2431818,2431798,2431778,2431758,2431718,2431698,2431678,2431658,6,4.0
2431838,2431818,2431798,2431778,2431758,2431718,2431698,2431678,2431658,2431638,6,3.9
2431818,2431798,2431778,2431758,2431718,2431698,2431678,2431658,2431638,2431620,6,3.8
2431798,2431778,2431758,2431718,2431698,2431678,2431658,2431638,2431620,2431578,6,3.7
2431778,2431758,2431718,2431698,2431678,2431658,2431638,2431620,2431578,2431558,6,3.6
2431758,2431718,2431698,2431678,2431658,2431638,2431620,2431578,2431558,2431538,6,3.5
2428410,2428390,2428370,2428330,2428310,2428290,2428270,2428252,2428230,2428190,9,3.1
2428390,2428370,2428330,2428310,2428290,2428270,2428252,2428230,2428190,2428170,9,3.1
2428370,2428330,2428310,2428290,2428270,2428252,2428230,2428190,2428170,2428152,9,3.1
2428330,2428310,2428290,2428270,2428252,2428230,2428190,2428170,2428152,2428130,9,3.1
2428310,2428290,2428270,2428252,2428230,2428190,2428170,2428152,2428130,2428112,9,3.2
2428290,2428270,2428252,2428230,2428190,2428170,2428152,2428130,2428112,2428090,9,3.3
2428270,2428252,2428230,2428190,2428170,2428152,2428130,2428112,2428090,2428050,9,3.4
2428252,2428230,2428190,2428170,2428152,2428130,2428112,2428090,2428050,2428030,9,3.5
2428230,2428190,2428170,2428152,2428130,2428112,2428090,2428050,2428030,2428010,9,3.6
2428190,2428170,2428152,2428130,2428112,2428090,2428050,2428030,2428010,2427990,9,3.7
2428170,2428152,2428130,2428112,2428090,2428050,2428030,2428010,2427990,2427970,9,3.7
2428152,2428130,2428112,2428090,2428050,2428030,2428010,2427990,2427970,2427950,9,3.8
2428130,2428112,2428090,2428050,2428030,2428010,2427990,2427970,2427950,2427910,9,3.9
2428112,2428090,2428050,2428030,2428010,2427990,2427970,2427950,2427910,2427890,9,4.0
2428090,2428050,2428030,2428010,2427990,2427970,2427950,2427910,2427890,2427870,9,4.0
2428050,2428030,2428010,2427990,2427970,2427950,2427910,2427890,2427870,2427850,9,4.0
2428030,2428010,2427990,2427970,2427950,2427910,2427890,2427870,2427850,2427830,9,4.0
2428010,2427990,2427970,2427950,2427910,2427890,2427870,2427850,2427830,2427812,9,4.0
2427990,2427970,2427950,2427910,2427890,2427870,2427850,2427830,2427812,2427770,9,4.0
2427970,2427950,2427910,2427890,2427870,2427850,2427830,2427812,2427770,2427750,9,4.0
2427950,2427910,2427890,2427870,2427850,2427830,2427812,2427770,2427750,2427730,9,4.0
2427910,2427890,2427870,2427850,2427830,2427812,2427770,2427750,2427730,2427710,9,4.0
2427890,2427870,2427850,2427830,2427812,2427770,2427750,2427730,2427710,2427690,9,3.9
2427870,2427850,2427830,2427812,2427770,2427750,2427730,2427710,2427690,2427670,9,3.8
2427850,2427830,2427812,2427770,2427750,2427730,2427710,2427690,2427670,2427630,9,3.7
2427830,2427812,2427770,2427750,2427730,2427710,2427690,2427670,2427630,2427610,9,3.6
2427812,2427770,2427750,2427730,2427710,2427690,2427670,2427630,2427610,2427590,9,3.5
2427770,2427750,2427730,2427710,2427690,2427670,2427630,2427610,2427590,2427570,9,3.4
2427750,2427730,2427710,2427690,2427670,2427630,2427610,2427590,2427570,2427550,9,3.3
2427730,2427710,2427690,2427670,2427630,2427610,2427590,2427570,2427550,2427532,9,3.2
2427710,2427690,2427670,2427630,2427610,2427590,2427570,2427550,2427532,2427490,9,3.1
2415282,2415258,2415233,2415214,2415192,2415170,2415150,2415127,2415107,2415085,14,3.1
2415258,2415233,2415214,2415192,2415170,2415150,2415127,2415107,2415085,2415043,14,3.2
2415233,2415214,2415192,2415170,2415150,2415127,2415107,2415085,2415043,2415019,14,3.3
2415214,2415192,2415170,2415150,2415127,2415107,2415085,2415043,2415019,2414997,14,3.4
2415192,2415170,2415150,2415127,2415107,2415085,2415043,2415019,2414997,2414978,14,3.5
2415170,2415150,2415127,2415107,2415085,2415043,2415019,2414997,2414978,2414956,14,3.6
2415150,2415127,2415107,2415085,2415043,2415019,2414997,2414978,2414956,2414934,14,3.7
2415127,2415107,2415085,2415043,2415019,2414997,2414978,2414956,2414934,2414912,14,3.8
2415107,2415085,2415043,2415019,2414997,2414978,2414956,2414934,2414912,2414890,14,3.9
2415085,2415043,2415019,2414997,2414978,2414956,2414934,2414912,2414890,2414868,14,4.0
2415043,2415019,2414997,2414978,2414956,2414934,2414912,2414890,2414868,2414848,14,4.0
2415019,2414997,2414978,2414956,2414934,2414912,2414890,2414868,2414848,2414824,14,4.0
2414997,2414978,2414956,2414934,2414912,2414890,2414868,2414848,2414824,2414799,14,4.0
2414978,2414956,2414934,2414912,2414890,2414868,2414848,2414824,2414799,2414760,14,4.0
2414956,2414934,2414912,2414890,2414868,2414848,2414824,2414799,2414760,2414740,14,4.0
2414934,2414912,2414890,2414868,2414848,2414824,2414799,2414760,2414740,2414716,14,4.0
2414912,2414890,2414868,2414848,2414824,2414799,2414760,2414740,2414716,2414694,14,4.0
2414890,2414868,2414848,2414824,2414799,2414760,2414740,2414716,2414694,2414672,14,4.0
2414868,2414848,2414824,2414799,2414760,2414740,2414716,2414694,2414672,2414650,14,4.0
2414848,2414824,2414799,2414760,2414740,2414716,2414694,2414672,2414650,2414630,14,4.0
2414824,2414799,2414760,2414740,2414716,2414694,2414672,2414650,2414630,2414603,14,4.0
2414799,2414760,2414740,2414716,2414694,2414672,2414650,2414630,2414603,2414581,14,4.0
2414760,2414740,2414716,2414694,2414672,2414650,2414630,2414603,2414581,2414562,14,4.0
2414740,2414716,2414694,2414672,2414650,2414630,2414603,2414581,2414562,2414540,14,4.0
2414716,2414694,2414672,2414650,2414630,2414603,2414581,2414562,2414540,2414518,14,4.0
2414694,2414672,2414650,2414630,2414603,2414581,2414562,2414540,2414518,2414478,14,4.0
2414672,2414650,2414630,2414603,2414581,2414562,2414540,2414518,2414478,2414451,14,4.0
2414650,2414630,2414603,2414581,2414562,2414540,2414518,2414478,2414451,2414432,14,4.0
2414630,2414603,2414581,2414562,2414540,2414518,2414478,2414451,2414432,2414410,14,4.0
2414603,2414581,2414562,2414540,2414518,2414478,2414451,2414432,2414410,2414388,14,3.9
2414581,2414562,2414540,2414518,2414478,2414451,2414432,2414410,2414388,2414366,14,3.8
2414562,2414540,2414518,2414478,2414451,2414432,2414410,2414388,2414366,2414344,14,3.8
2414540,2414518,2414478,2414451,2414432,2414410,2414388,2414366,2414344,2414322,14,3.8
2414518,2414478,2414451,2414432,2414410,2414388,2414366,2414344,2414322,2414300,14,3.8
