input_0,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,output_0,output_1,output_2,output_3,output_4,output_5,output_6,output_7,output_8,output_9,seq_id
2454880,2454862,2454840,2454800,2454780,2454762,2454742,2454722,2454700,2454660,2454880,2454862,2454840,2454800,2454780,2454762,2454742,2454722,2454700,2454660,0
2454862,2454840,2454800,2454780,2454762,2454742,2454722,2454700,2454660,2454640,2454862,2454840,2454800,2454780,2454762,2454742,2454722,2454700,2454660,2454640,0
2454840,2454800,2454780,2454762,2454742,2454722,2454700,2454660,2454640,2454620,2454840,2454800,2454780,2454762,2454742,2454722,2454700,2454660,2454640,2454620,0
2454800,2454780,2454762,2454742,2454722,2454700,2454660,2454640,2454620,2454600,2454800,2454780,2454762,2454742,2454722,2454700,2454660,2454640,2454620,2454600,0
2454780,2454762,2454742,2454722,2454700,2454660,2454640,2454620,2454600,2454580,2454780,2454762,2454742,2454722,2454700,2454660,2454640,2454620,2454600,2454580,0
2454762,2454742,2454722,2454700,2454660,2454640,2454620,2454600,2454580,2454560,2454762,2454742,2454722,2454700,2454660,2454640,2454620,2454600,2454580,2454560,0
2454742,2454722,2454700,2454660,2454640,2454620,2454600,2454580,2454560,2454520,2454742,2454722,2454700,2454660,2454640,2454620,2454600,2454580,2454560,2454520,0
2454722,2454700,2454660,2454640,2454620,2454600,2454580,2454560,2454520,2454502,2454722,2454700,2454660,2454640,2454620,2454600,2454580,2454560,2454520,2454502,0
2454700,2454660,2454640,2454620,2454600,2454580,2454560,2454520,2454502,2454482,2454700,2454660,2454640,2454620,2454600,2454580,2454560,2454520,2454502,2454482,0
2454660,2454640,2454620,2454600,2454580,2454560,2454520,2454502,2454482,2454462,2454660,2454640,2454620,2454600,2454580,2454560,2454520,2454502,2454482,2454462,0
2454640,2454620,2454600,2454580,2454560,2454520,2454502,2454482,2454462,2454442,2454640,2454620,2454600,2454580,2454560,2454520,2454502,2454482,2454462,2454442,0
2454620,2454600,2454580,2454560,2454520,2454502,2454482,2454462,2454442,2454420,2454620,2454600,2454580,2454560,2454520,2454502,2454482,2454462,2454442,2454420,0
2454600,2454580,2454560,2454520,2454502,2454482,2454462,2454442,2454420,2454380,2454600,2454580,2454560,2454520,2454502,2454482,2454462,2454442,2454420,2454380,0
2454580,2454560,2454520,2454502,2454482,2454462,2454442,2454420,2454380,2454362,2454580,2454560,2454520,2454502,2454482,2454462,2454442,2454420,2454380,2454362,0
2454560,2454520,2454502,2454482,2454462,2454442,2454420,2454380,2454362,2454340,2454560,2454520,2454502,2454482,2454462,2454442,2454420,2454380,2454362,2454340,0
2454520,2454502,2454482,2454462,2454442,2454420,2454380,2454362,2454340,2454320,2454520,2454502,2454482,2454462,2454442,2454420,2454380,2454362,2454340,2454320,0
2454502,2454482,2454462,2454442,2454420,2454380,2454362,2454340,2454320,2454302,2454502,2454482,2454462,2454442,2454420,2454380,2454362,2454340,2454320,2454302,0
2454482,2454462,2454442,2454420,2454380,2454362,2454340,2454320,2454302,2454282,2454482,2454462,2454442,2454420,2454380,2454362,2454340,2454320,2454302,2454282,0
2454462,2454442,2454420,2454380,2454362,2454340,2454320,2454302,2454282,2454240,2454462,2454442,2454420,2454380,2454362,2454340,2454320,2454302,2454282,2454240,0
2454442,2454420,2454380,2454362,2454340,2454320,2454302,2454282,2454240,2454222,2454442,2454420,2454380,2454362,2454340,2454320,2454302,2454282,2454240,2454222,0
2454420,2454380,2454362,2454340,2454320,2454302,2454282,2454240,2454222,2454202,2454420,2454380,2454362,2454340,2454320,2454302,2454282,2454240,2454222,2454202,0
2454380,2454362,2454340,2454320,2454302,2454282,2454240,2454222,2454202,2454182,2454380,2454362,2454340,2454320,2454302,2454282,2454240,2454222,2454202,2454182,0
2454362,2454340,2454320,2454302,2454282,2454240,2454222,2454202,2454182,2454160,2454362,2454340,2454320,2454302,2454282,2454240,2454222,2454202,2454182,2454160,0
2454340,2454320,2454302,2454282,2454240,2454222,2454202,2454182,2454160,2454140,2454340,2454320,2454302,2454282,2454240,2454222,2454202,2454182,2454160,2454140,0
2454320,2454302,2454282,2454240,2454222,2454202,2454182,2454160,2454140,2454100,2454320,2454302,2454282,2454240,2454222,2454202,2454182,2454160,2454140,2454100,0
2454302,2454282,2454240,2454222,2454202,2454182,2454160,2454140,2454100,2454080,2454302,2454282,2454240,2454222,2454202,2454182,2454160,2454140,2454100,2454080,0
2454282,2454240,2454222,2454202,2454182,2454160,2454140,2454100,2454080,2454060,2454282,2454240,2454222,2454202,2454182,2454160,2454140,2454100,2454080,2454060,0
2454240,2454222,2454202,2454182,2454160,2454140,2454100,2454080,2454060,2454042,2454240,2454222,2454202,2454182,2454160,2454140,2454100,2454080,2454060,2454042,0
2454222,2454202,2454182,2454160,2454140,2454100,2454080,2454060,2454042,2454022,2454222,2454202,2454182,2454160,2454140,2454100,2454080,2454060,2454042,2454022,0
2454202,2454182,2454160,2454140,2454100,2454080,2454060,2454042,2454022,2453997,2454202,2454182,2454160,2454140,2454100,2454080,2454060,2454042,2454022,2453997,0
2454182,2454160,2454140,2454100,2454080,2454060,2454042,2454022,2453997,2453960,2454182,2454160,2454140,2454100,2454080,2454060,2454042,2454022,2453997,2453960,0
2454160,2454140,2454100,2454080,2454060,2454042,2454022,2453997,2453960,2453940,2454160,2454140,2454100,2454080,2454060,2454042,2454022,2453997,2453960,2453940,0
2454140,2454100,2454080,2454060,2454042,2454022,2453997,2453960,2453940,2453920,2454140,2454100,2454080,2454060,2454042,2454022,2453997,2453960,2453940,2453920,0
2454100,2454080,2454060,2454042,2454022,2453997,2453960,2453940,2453920,2453900,2454100,2454080,2454060,2454042,2454022,2453997,2453960,2453940,2453920,2453900,0
2454080,2454060,2454042,2454022,2453997,2453960,2453940,2453920,2453900,2453880,2454080,2454060,2454042,2454022,2453997,2453960,2453940,2453920,2453900,2453880,0
2454060,2454042,2454022,2453997,2453960,2453940,2453920,2453900,2453880,2453860,2454060,2454042,2454022,2453997,2453960,2453940,2453920,2453900,2453880,2453860,0
2454042,2454022,2453997,2453960,2453940,2453920,2453900,2453880,2453860,2453820,2454042,2454022,2453997,2453960,2453940,2453920,2453900,2453880,2453860,2453820,0
2454022,2453997,2453960,2453940,2453920,2453900,2453880,2453860,2453820,2453802,2454022,2453997,2453960,2453940,2453920,2453900,2453880,2453860,2453820,2453802,0
2453997,2453960,2453940,2453920,2453900,2453880,2453860,2453820,2453802,2453780,2453997,2453960,2453940,2453920,2453900,2453880,2453860,2453820,2453802,2453780,0
2453960,2453940,2453920,2453900,2453880,2453860,2453820,2453802,2453780,2453757,2453960,2453940,2453920,2453900,2453880,2453860,2453820,2453802,2453780,2453757,0
2453940,2453920,2453900,2453880,2453860,2453820,2453802,2453780,2453757,2453737,2453940,2453920,2453900,2453880,2453860,2453820,2453802,2453780,2453757,2453737,0
2453920,2453900,2453880,2453860,2453820,2453802,2453780,2453757,2453737,2453720,2453920,2453900,2453880,2453860,2453820,2453802,2453780,2453757,2453737,2453720,0
2453900,2453880,2453860,2453820,2453802,2453780,2453757,2453737,2453720,2453680,2453900,2453880,2453860,2453820,2453802,2453780,2453757,2453737,2453720,2453680,0
2453880,2453860,2453820,2453802,2453780,2453757,2453737,2453720,2453680,2453660,2453880,2453860,2453820,2453802,2453780,2453757,2453737,2453720,2453680,2453660,0
2453860,2453820,2453802,2453780,2453757,2453737,2453720,2453680,2453660,2453640,2453860,2453820,2453802,2453780,2453757,2453737,2453720,2453680,2453660,2453640,0
2453820,2453802,2453780,2453757,2453737,2453720,2453680,2453660,2453640,2453622,2453820,2453802,2453780,2453757,2453737,2453720,2453680,2453660,2453640,2453622,0
2453802,2453780,2453757,2453737,2453720,2453680,2453660,2453640,2453622,2453600,2453802,2453780,2453757,2453737,2453720,2453680,2453660,2453640,2453622,2453600,0
2452684,2452667,2452647,2452607,2452589,2452569,2452549,2452527,2452507,2452467,2452684,2452667,2452647,2452607,2452589,2452569,2452549,2452527,2452507,2452467,2
2452667,2452647,2452607,2452589,2452569,2452549,2452527,2452507,2452467,2452447,2452667,2452647,2452607,2452589,2452569,2452549,2452527,2452507,2452467,2452447,2
2452647,2452607,2452589,2452569,2452549,2452527,2452507,2452467,2452447,2452429,2452647,2452607,2452589,2452569,2452549,2452527,2452507,2452467,2452447,2452429,2
2452607,2452589,2452569,2452549,2452527,2452507,2452467,2452447,2452429,2452407,2452607,2452589,2452569,2452549,2452527,2452507,2452467,2452447,2452429,2452407,2
2452589,2452569,2452549,2452527,2452507,2452467,2452447,2452429,2452407,2452387,2452589,2452569,2452549,2452527,2452507,2452467,2452447,2452429,2452407,2452387,2
2452569,2452549,2452527,2452507,2452467,2452447,2452429,2452407,2452387,2452367,2452569,2452549,2452527,2452507,2452467,2452447,2452429,2452407,2452387,2452367,2
2452549,2452527,2452507,2452467,2452447,2452429,2452407,2452387,2452367,2452327,2452549,2452527,2452507,2452467,2452447,2452429,2452407,2452387,2452367,2452327,2
2452527,2452507,2452467,2452447,2452429,2452407,2452387,2452367,2452327,2452309,2452527,2452507,2452467,2452447,2452429,2452407,2452387,2452367,2452327,2452309,2
2452507,2452467,2452447,2452429,2452407,2452387,2452367,2452327,2452309,2452289,2452507,2452467,2452447,2452429,2452407,2452387,2452367,2452327,2452309,2452289,2
2452467,2452447,2452429,2452407,2452387,2452367,2452327,2452309,2452289,2452267,2452467,2452447,2452429,2452407,2452387,2452367,2452327,2452309,2452289,2452267,2
2452447,2452429,2452407,2452387,2452367,2452327,2452309,2452289,2452267,2452247,2452447,2452429,2452407,2452387,2452367,2452327,2452309,2452289,2452267,2452247,2
2452429,2452407,2452387,2452367,2452327,2452309,2452289,2452267,2452247,2452227,2452429,2452407,2452387,2452367,2452327,2452309,2452289,2452267,2452247,2452227,2
2452407,2452387,2452367,2452327,2452309,2452289,2452267,2452247,2452227,2452184,2452407,2452387,2452367,2452327,2452309,2452289,2452267,2452247,2452227,2452184,2
2452387,2452367,2452327,2452309,2452289,2452267,2452247,2452227,2452184,2452167,2452387,2452367,2452327,2452309,2452289,2452267,2452247,2452227,2452184,2452167,2
2452367,2452327,2452309,2452289,2452267,2452247,2452227,2452184,2452167,2452147,2452367,2452327,2452309,2452289,2452267,2452247,2452227,2452184,2452167,2452147,2
2452327,2452309,2452289,2452267,2452247,2452227,2452184,2452167,2452147,2452129,2452327,2452309,2452289,2452267,2452247,2452227,2452184,2452167,2452147,2452129,2
2452309,2452289,2452267,2452247,2452227,2452184,2452167,2452147,2452129,2452109,2452309,2452289,2452267,2452247,2452227,2452184,2452167,2452147,2452129,2452109,2
2452289,2452267,2452247,2452227,2452184,2452167,2452147,2452129,2452109,2452087,2452289,2452267,2452247,2452227,2452184,2452167,2452147,2452129,2452109,2452087,2
2452267,2452247,2452227,2452184,2452167,2452147,2452129,2452109,2452087,2452047,2452267,2452247,2452227,2452184,2452167,2452147,2452129,2452109,2452087,2452047,2
2452247,2452227,2452184,2452167,2452147,2452129,2452109,2452087,2452047,2452027,2452247,2452227,2452184,2452167,2452147,2452129,2452109,2452087,2452047,2452027,2
2452227,2452184,2452167,2452147,2452129,2452109,2452087,2452047,2452027,2452007,2452227,2452184,2452167,2452147,2452129,2452109,2452087,2452047,2452027,2452007,2
2452184,2452167,2452147,2452129,2452109,2452087,2452047,2452027,2452007,2451987,2452184,2452167,2452147,2452129,2452109,2452087,2452047,2452027,2452007,2451987,2
2452167,2452147,2452129,2452109,2452087,2452047,2452027,2452007,2451987,2451969,2452167,2452147,2452129,2452109,2452087,2452047,2452027,2452007,2451987,2451969,2
2452147,2452129,2452109,2452087,2452047,2452027,2452007,2451987,2451969,2451949,2452147,2452129,2452109,2452087,2452047,2452027,2452007,2451987,2451969,2451949,2
2452129,2452109,2452087,2452047,2452027,2452007,2451987,2451969,2451949,2451907,2452129,2452109,2452087,2452047,2452027,2452007,2451987,2451969,2451949,2451907,2
2452109,2452087,2452047,2452027,2452007,2451987,2451969,2451949,2451907,2451889,2452109,2452087,2452047,2452027,2452007,2451987,2451969,2451949,2451907,2451889,2
2452087,2452047,2452027,2452007,2451987,2451969,2451949,2451907,2451889,2451867,2452087,2452047,2452027,2452007,2451987,2451969,2451949,2451907,2451889,2451867,2
2452047,2452027,2452007,2451987,2451969,2451949,2451907,2451889,2451867,2451849,2452047,2452027,2452007,2451987,2451969,2451949,2451907,2451889,2451867,2451849,2
2452027,2452007,2451987,2451969,2451949,2451907,2451889,2451867,2451849,2451827,2452027,2452007,2451987,2451969,2451949,2451907,2451889,2451867,2451849,2451827,2
2452007,2451987,2451969,2451949,2451907,2451889,2451867,2451849,2451827,2451809,2452007,2451987,2451969,2451949,2451907,2451889,2451867,2451849,2451827,2451809,2
2451987,2451969,2451949,2451907,2451889,2451867,2451849,2451827,2451809,2451769,2451987,2451969,2451949,2451907,2451889,2451867,2451849,2451827,2451809,2451769,2
2451969,2451949,2451907,2451889,2451867,2451849,2451827,2451809,2451769,2451747,2451969,2451949,2451907,2451889,2451867,2451849,2451827,2451809,2451769,2451747,2
2451949,2451907,2451889,2451867,2451849,2451827,2451809,2451769,2451747,2451729,2451949,2451907,2451889,2451867,2451849,2451827,2451809,2451769,2451747,2451729,2
2451907,2451889,2451867,2451849,2451827,2451809,2451769,2451747,2451729,2451709,2451907,2451889,2451867,2451849,2451827,2451809,2451769,2451747,2451729,2451709,2
2451889,2451867,2451849,2451827,2451809,2451769,2451747,2451729,2451709,2451689,2451889,2451867,2451849,2451827,2451809,2451769,2451747,2451729,2451709,2451689,2
2451867,2451849,2451827,2451809,2451769,2451747,2451729,2451709,2451689,2451669,2451867,2451849,2451827,2451809,2451769,2451747,2451729,2451709,2451689,2451669,2
2450674,2450654,2450634,2450616,2450594,2450554,2450534,2450516,2450494,2450474,2450674,2450654,2450634,2450616,2450594,2450554,2450534,2450516,2450494,2450474,3
2450654,2450634,2450616,2450594,2450554,2450534,2450516,2450494,2450474,2450456,2450654,2450634,2450616,2450594,2450554,2450534,2450516,2450494,2450474,2450456,3
2450634,2450616,2450594,2450554,2450534,2450516,2450494,2450474,2450456,2450414,2450634,2450616,2450594,2450554,2450534,2450516,2450494,2450474,2450456,2450414,3
2450616,2450594,2450554,2450534,2450516,2450494,2450474,2450456,2450414,2450396,2450616,2450594,2450554,2450534,2450516,2450494,2450474,2450456,2450414,2450396,3
2450594,2450554,2450534,2450516,2450494,2450474,2450456,2450414,2450396,2450376,2450594,2450554,2450534,2450516,2450494,2450474,2450456,2450414,2450396,2450376,3
2450554,2450534,2450516,2450494,2450474,2450456,2450414,2450396,2450376,2450354,2450554,2450534,2450516,2450494,2450474,2450456,2450414,2450396,2450376,2450354,3
2450534,2450516,2450494,2450474,2450456,2450414,2450396,2450376,2450354,2450334,2450534,2450516,2450494,2450474,2450456,2450414,2450396,2450376,2450354,2450334,3
2450516,2450494,2450474,2450456,2450414,2450396,2450376,2450354,2450334,2450316,2450516,2450494,2450474,2450456,2450414,2450396,2450376,2450354,2450334,2450316,3
2450494,2450474,2450456,2450414,2450396,2450376,2450354,2450334,2450316,2450274,2450494,2450474,2450456,2450414,2450396,2450376,2450354,2450334,2450316,2450274,3
2450474,2450456,2450414,2450396,2450376,2450354,2450334,2450316,2450274,2450254,2450474,2450456,2450414,2450396,2450376,2450354,2450334,2450316,2450274,2450254,3
2450456,2450414,2450396,2450376,2450354,2450334,2450316,2450274,2450254,2450234,2450456,2450414,2450396,2450376,2450354,2450334,2450316,2450274,2450254,2450234,3
2450414,2450396,2450376,2450354,2450334,2450316,2450274,2450254,2450234,2450214,2450414,2450396,2450376,2450354,2450334,2450316,2450274,2450254,2450234,2450214,3
2450396,2450376,2450354,2450334,2450316,2450274,2450254,2450234,2450214,2450194,2450396,2450376,2450354,2450334,2450316,2450274,2450254,2450234,2450214,2450194,3
2450376,2450354,2450334,2450316,2450274,2450254,2450234,2450214,2450194,2450174,2450376,2450354,2450334,2450316,2450274,2450254,2450234,2450214,2450194,2450174,3
2450354,2450334,2450316,2450274,2450254,2450234,2450214,2450194,2450174,2450134,2450354,2450334,2450316,2450274,2450254,2450234,2450214,2450194,2450174,2450134,3
2450334,2450316,2450274,2450254,2450234,2450214,2450194,2450174,2450134,2450114,2450334,2450316,2450274,2450254,2450234,2450214,2450194,2450174,2450134,2450114,3
2450316,2450274,2450254,2450234,2450214,2450194,2450174,2450134,2450114,2450096,2450316,2450274,2450254,2450234,2450214,2450194,2450174,2450134,2450114,2450096,3
2450274,2450254,2450234,2450214,2450194,2450174,2450134,2450114,2450096,2450074,2450274,2450254,2450234,2450214,2450194,2450174,2450134,2450114,2450096,2450074,3
2450254,2450234,2450214,2450194,2450174,2450134,2450114,2450096,2450074,2450054,2450254,2450234,2450214,2450194,2450174,2450134,2450114,2450096,2450074,2450054,3
2450234,2450214,2450194,2450174,2450134,2450114,2450096,2450074,2450054,2450034,2450234,2450214,2450194,2450174,2450134,2450114,2450096,2450074,2450054,2450034,3
2450214,2450194,2450174,2450134,2450114,2450096,2450074,2450054,2450034,2449994,2450214,2450194,2450174,2450134,2450114,2450096,2450074,2450054,2450034,2449994,3
2450194,2450174,2450134,2450114,2450096,2450074,2450054,2450034,2449994,2449974,2450194,2450174,2450134,2450114,2450096,2450074,2450054,2450034,2449994,2449974,3
2450174,2450134,2450114,2450096,2450074,2450054,2450034,2449994,2449974,2449956,2450174,2450134,2450114,2450096,2450074,2450054,2450034,2449994,2449974,2449956,3
2450134,2450114,2450096,2450074,2450054,2450034,2449994,2449974,2449956,2449934,2450134,2450114,2450096,2450074,2450054,2450034,2449994,2449974,2449956,2449934,3
2450114,2450096,2450074,2450054,2450034,2449994,2449974,2449956,2449934,2449911,2450114,2450096,2450074,2450054,2450034,2449994,2449974,2449956,2449934,2449911,3
2450096,2450074,2450054,2450034,2449994,2449974,2449956,2449934,2449911,2449894,2450096,2450074,2450054,2450034,2449994,2449974,2449956,2449934,2449911,2449894,3
2450074,2450054,2450034,2449994,2449974,2449956,2449934,2449911,2449894,2449856,2450074,2450054,2450034,2449994,2449974,2449956,2449934,2449911,2449894,2449856,3
2450054,2450034,2449994,2449974,2449956,2449934,2449911,2449894,2449856,2449836,2450054,2450034,2449994,2449974,2449956,2449934,2449911,2449894,2449856,2449836,3
2450034,2449994,2449974,2449956,2449934,2449911,2449894,2449856,2449836,2449814,2450034,2449994,2449974,2449956,2449934,2449911,2449894,2449856,2449836,2449814,3
2449994,2449974,2449956,2449934,2449911,2449894,2449856,2449836,2449814,2449796,2449994,2449974,2449956,2449934,2449911,2449894,2449856,2449836,2449814,2449796,3
2449974,2449956,2449934,2449911,2449894,2449856,2449836,2449814,2449796,2449774,2449974,2449956,2449934,2449911,2449894,2449856,2449836,2449814,2449796,2449774,3
2449956,2449934,2449911,2449894,2449856,2449836,2449814,2449796,2449774,2449754,2449956,2449934,2449911,2449894,2449856,2449836,2449814,2449796,2449774,2449754,3
2449934,2449911,2449894,2449856,2449836,2449814,2449796,2449774,2449754,2449714,2449934,2449911,2449894,2449856,2449836,2449814,2449796,2449774,2449754,2449714,3
2449911,2449894,2449856,2449836,2449814,2449796,2449774,2449754,2449714,2449694,2449911,2449894,2449856,2449836,2449814,2449796,2449774,2449754,2449714,2449694,3
2449894,2449856,2449836,2449814,2449796,2449774,2449754,2449714,2449694,2449674,2449894,2449856,2449836,2449814,2449796,2449774,2449754,2449714,2449694,2449674,3
2449856,2449836,2449814,2449796,2449774,2449754,2449714,2449694,2449674,2449654,2449856,2449836,2449814,2449796,2449774,2449754,2449714,2449694,2449674,2449654,3
2449836,2449814,2449796,2449774,2449754,2449714,2449694,2449674,2449654,2449634,2449836,2449814,2449796,2449774,2449754,2449714,2449694,2449674,2449654,2449634,3
2449814,2449796,2449774,2449754,2449714,2449694,2449674,2449654,2449634,2449616,2449814,2449796,2449774,2449754,2449714,2449694,2449674,2449654,2449634,2449616,3
2449796,2449774,2449754,2449714,2449694,2449674,2449654,2449634,2449616,2449574,2449796,2449774,2449754,2449714,2449694,2449674,2449654,2449634,2449616,2449574,3
2449774,2449754,2449714,2449694,2449674,2449654,2449634,2449616,2449574,2449554,2449774,2449754,2449714,2449694,2449674,2449654,2449634,2449616,2449574,2449554,3
2449754,2449714,2449694,2449674,2449654,2449634,2449616,2449574,2449554,2449534,2449754,2449714,2449694,2449674,2449654,2449634,2449616,2449574,2449554,2449534,3
2449714,2449694,2449674,2449654,2449634,2449616,2449574,2449554,2449534,2449514,2449714,2449694,2449674,2449654,2449634,2449616,2449574,2449554,2449534,2449514,3
2449694,2449674,2449654,2449634,2449616,2449574,2449554,2449534,2449514,2449496,2449694,2449674,2449654,2449634,2449616,2449574,2449554,2449534,2449514,2449496,3
2449674,2449654,2449634,2449616,2449574,2449554,2449534,2449514,2449496,2449476,2449674,2449654,2449634,2449616,2449574,2449554,2449534,2449514,2449496,2449476,3
2449654,2449634,2449616,2449574,2449554,2449534,2449514,2449496,2449476,2449436,2449654,2449634,2449616,2449574,2449554,2449534,2449514,2449496,2449476,2449436,3
2449634,2449616,2449574,2449554,2449534,2449514,2449496,2449476,2449436,2449414,2449634,2449616,2449574,2449554,2449534,2449514,2449496,2449476,2449436,2449414,3
2449616,2449574,2449554,2449534,2449514,2449496,2449476,2449436,2449414,2449394,2449616,2449574,2449554,2449534,2449514,2449496,2449476,2449436,2449414,2449394,3
2449574,2449554,2449534,2449514,2449496,2449476,2449436,2449414,2449394,2449374,2449574,2449554,2449534,2449514,2449496,2449476,2449436,2449414,2449394,2449374,3
2449554,2449534,2449514,2449496,2449476,2449436,2449414,2449394,2449374,2449356,2449554,2449534,2449514,2449496,2449476,2449436,2449414,2449394,2449374,2449356,3
2449534,2449514,2449496,2449476,2449436,2449414,2449394,2449374,2449356,2449336,2449534,2449514,2449496,2449476,2449436,2449414,2449394,2449374,2449356,2449336,3
2449514,2449496,2449476,2449436,2449414,2449394,2449374,2449356,2449336,2449294,2449514,2449496,2449476,2449436,2449414,2449394,2449374,2449356,2449336,2449294,3
2449496,2449476,2449436,2449414,2449394,2449374,2449356,2449336,2449294,2449274,2449496,2449476,2449436,2449414,2449394,2449374,2449356,2449336,2449294,2449274,3
2449476,2449436,2449414,2449394,2449374,2449356,2449336,2449294,2449274,2449254,2449476,2449436,2449414,2449394,2449374,2449356,2449336,2449294,2449274,2449254,3
2449436,2449414,2449394,2449374,2449356,2449336,2449294,2449274,2449254,2449234,2449436,2449414,2449394,2449374,2449356,2449336,2449294,2449274,2449254,2449234,3
2449414,2449394,2449374,2449356,2449336,2449294,2449274,2449254,2449234,2449214,2449414,2449394,2449374,2449356,2449336,2449294,2449274,2449254,2449234,2449214,3
2449394,2449374,2449356,2449336,2449294,2449274,2449254,2449234,2449214,2449191,2449394,2449374,2449356,2449336,2449294,2449274,2449254,2449234,2449214,2449191,3
2449374,2449356,2449336,2449294,2449274,2449254,2449234,2449214,2449191,2449154,2449374,2449356,2449336,2449294,2449274,2449254,2449234,2449214,2449191,2449154,3
2449356,2449336,2449294,2449274,2449254,2449234,2449214,2449191,2449154,2449134,2449356,2449336,2449294,2449274,2449254,2449234,2449214,2449191,2449154,2449134,3
2449336,2449294,2449274,2449254,2449234,2449214,2449191,2449154,2449134,2449114,2449336,2449294,2449274,2449254,2449234,2449214,2449191,2449154,2449134,2449114,3
2449294,2449274,2449254,2449234,2449214,2449191,2449154,2449134,2449114,2449094,2449294,2449274,2449254,2449234,2449214,2449191,2449154,2449134,2449114,2449094,3
2449274,2449254,2449234,2449214,2449191,2449154,2449134,2449114,2449094,2449074,2449274,2449254,2449234,2449214,2449191,2449154,2449134,2449114,2449094,2449074,3
2449254,2449234,2449214,2449191,2449154,2449134,2449114,2449094,2449074,2449056,2449254,2449234,2449214,2449191,2449154,2449134,2449114,2449094,2449074,2449056,3
2449234,2449214,2449191,2449154,2449134,2449114,2449094,2449074,2449056,2449014,2449234,2449214,2449191,2449154,2449134,2449114,2449094,2449074,2449056,2449014,3
2449214,2449191,2449154,2449134,2449114,2449094,2449074,2449056,2449014,2448994,2449214,2449191,2449154,2449134,2449114,2449094,2449074,2449056,2449014,2448994,3
2449191,2449154,2449134,2449114,2449094,2449074,2449056,2449014,2448994,2448974,2449191,2449154,2449134,2449114,2449094,2449074,2449056,2449014,2448994,2448974,3
2449154,2449134,2449114,2449094,2449074,2449056,2449014,2448994,2448974,2448954,2449154,2449134,2449114,2449094,2449074,2449056,2449014,2448994,2448974,2448954,3
2449134,2449114,2449094,2449074,2449056,2449014,2448994,2448974,2448954,2448934,2449134,2449114,2449094,2449074,2449056,2449014,2448994,2448974,2448954,2448934,3
2449114,2449094,2449074,2449056,2449014,2448994,2448974,2448954,2448934,2448914,2449114,2449094,2449074,2449056,2449014,2448994,2448974,2448954,2448934,2448914,3
2449094,2449074,2449056,2449014,2448994,2448974,2448954,2448934,2448914,2448874,2449094,2449074,2449056,2449014,2448994,2448974,2448954,2448934,2448914,2448874,3
2449074,2449056,2449014,2448994,2448974,2448954,2448934,2448914,2448874,2448856,2449074,2449056,2449014,2448994,2448974,2448954,2448934,2448914,2448874,2448856,3
